"Pred","Truth","Type","Convergence","sim","EM","OM"
1,0.5,"Male Sex Ratio","Converged",12,"Age","Growth_M (0,0)"
112.927287985953,105.431906230448,"Bmsy","Converged",12,"Age","Growth_M (0,0)"
0.149793344038636,0.152142410534649,"Fmsy","Converged",12,"Age","Growth_M (0,0)"
18.0442242451239,17.28778,"R0","Converged",12,"Age","Growth_M (0,0)"
0.102687014268441,0.108,"M_F","Converged",12,"Age","Growth_M (0,0)"
0.102687014268441,0.108,"M_M","Converged",12,"Age","Growth_M (0,0)"
19.130679393674,22.4271620654469,"Tier 3 HCR Catch","Converged",12,"Age","Growth_M (0,0)"
1,0.5,"Female Sex Ratio","Converged",13,"Age","Growth_M (0,0)"
1,0.5,"Male Sex Ratio","Converged",13,"Age","Growth_M (0,0)"
97.020716090879,105.431906230448,"Bmsy","Converged",13,"Age","Growth_M (0,0)"
0.154613313803333,0.152142410534649,"Fmsy","Converged",13,"Age","Growth_M (0,0)"
20.6148218931198,17.28778,"R0","Converged",13,"Age","Growth_M (0,0)"
0.113626853584846,0.108,"M_F","Converged",13,"Age","Growth_M (0,0)"
0.113626853584846,0.108,"M_M","Converged",13,"Age","Growth_M (0,0)"
31.5048253772185,21.5712868061176,"Tier 3 HCR Catch","Converged",13,"Age","Growth_M (0,0)"
1,0.5,"Female Sex Ratio","Converged",14,"Age","Growth_M (0,0)"
1,0.5,"Male Sex Ratio","Converged",14,"Age","Growth_M (0,0)"
100.5744788841,105.431906230448,"Bmsy","Converged",14,"Age","Growth_M (0,0)"
0.155817832958604,0.152142410534649,"Fmsy","Converged",14,"Age","Growth_M (0,0)"
17.8405720326806,17.28778,"R0","Converged",14,"Age","Growth_M (0,0)"
0.111781277258971,0.108,"M_F","Converged",14,"Age","Growth_M (0,0)"
0.111781277258971,0.108,"M_M","Converged",14,"Age","Growth_M (0,0)"
18.0024628203576,15.9736780641636,"Tier 3 HCR Catch","Converged",14,"Age","Growth_M (0,0)"
1,0.5,"Female Sex Ratio","Converged",15,"Age","Growth_M (0,0)"
1,0.5,"Male Sex Ratio","Converged",15,"Age","Growth_M (0,0)"
90.5805788341416,105.431906230448,"Bmsy","Converged",15,"Age","Growth_M (0,0)"
0.157919760899216,0.152142410534649,"Fmsy","Converged",15,"Age","Growth_M (0,0)"
17.868551247904,17.28778,"R0","Converged",15,"Age","Growth_M (0,0)"
0.119861659991644,0.108,"M_F","Converged",15,"Age","Growth_M (0,0)"
0.119861659991644,0.108,"M_M","Converged",15,"Age","Growth_M (0,0)"
29.2235625654409,16.9694287842428,"Tier 3 HCR Catch","Converged",15,"Age","Growth_M (0,0)"
1,0.5,"Female Sex Ratio","Converged",16,"Age","Growth_M (0,0)"
1,0.5,"Male Sex Ratio","Converged",16,"Age","Growth_M (0,0)"
84.2387537802078,105.431906230448,"Bmsy","Converged",16,"Age","Growth_M (0,0)"
0.160397315791184,0.152142410534649,"Fmsy","Converged",16,"Age","Growth_M (0,0)"
27.6126644217741,17.28778,"R0","Converged",16,"Age","Growth_M (0,0)"
0.125133614993721,0.108,"M_F","Converged",16,"Age","Growth_M (0,0)"
0.125133614993721,0.108,"M_M","Converged",16,"Age","Growth_M (0,0)"
36.3793617484292,24.3376957988352,"Tier 3 HCR Catch","Converged",16,"Age","Growth_M (0,0)"
1,0.5,"Female Sex Ratio","Converged",17,"Age","Growth_M (0,0)"
1,0.5,"Male Sex Ratio","Converged",17,"Age","Growth_M (0,0)"
132.736711195276,105.431906230448,"Bmsy","Converged",17,"Age","Growth_M (0,0)"
0.143790940570571,0.152142410534649,"Fmsy","Converged",17,"Age","Growth_M (0,0)"
11.9025533426833,17.28778,"R0","Converged",17,"Age","Growth_M (0,0)"
0.0924387583739902,0.108,"M_F","Converged",17,"Age","Growth_M (0,0)"
0.0924387583739902,0.108,"M_M","Converged",17,"Age","Growth_M (0,0)"
6.50576472603388,8.52655010320053,"Tier 3 HCR Catch","Converged",17,"Age","Growth_M (0,0)"
1,0.5,"Female Sex Ratio","Converged",18,"Age","Growth_M (0,0)"
1,0.5,"Male Sex Ratio","Converged",18,"Age","Growth_M (0,0)"
92.8337808631188,105.431906230448,"Bmsy","Converged",18,"Age","Growth_M (0,0)"
0.156864836499217,0.152142410534649,"Fmsy","Converged",18,"Age","Growth_M (0,0)"
22.2285398542087,17.28778,"R0","Converged",18,"Age","Growth_M (0,0)"
0.117636832770136,0.108,"M_F","Converged",18,"Age","Growth_M (0,0)"
0.117636832770136,0.108,"M_M","Converged",18,"Age","Growth_M (0,0)"
27.8924280190645,15.8934039810442,"Tier 3 HCR Catch","Converged",18,"Age","Growth_M (0,0)"
1,0.5,"Female Sex Ratio","Converged",19,"Age","Growth_M (0,0)"
1,0.5,"Male Sex Ratio","Converged",19,"Age","Growth_M (0,0)"
95.4156621542594,105.431906230448,"Bmsy","Converged",19,"Age","Growth_M (0,0)"
0.158007847562321,0.152142410534649,"Fmsy","Converged",19,"Age","Growth_M (0,0)"
20.5190016259378,17.28778,"R0","Converged",19,"Age","Growth_M (0,0)"
0.116098201851313,0.108,"M_F","Converged",19,"Age","Growth_M (0,0)"
0.116098201851313,0.108,"M_M","Converged",19,"Age","Growth_M (0,0)"
14.0318888955757,10.8983834109531,"Tier 3 HCR Catch","Converged",19,"Age","Growth_M (0,0)"
1,0.5,"Female Sex Ratio","Converged",20,"Age","Growth_M (0,0)"
1,0.5,"Male Sex Ratio","Converged",20,"Age","Growth_M (0,0)"
91.5181151759358,105.431906230448,"Bmsy","Converged",20,"Age","Growth_M (0,0)"
0.157516059597417,0.152142410534649,"Fmsy","Converged",20,"Age","Growth_M (0,0)"
25.9836195841546,17.28778,"R0","Converged",20,"Age","Growth_M (0,0)"
0.118564240669599,0.108,"M_F","Converged",20,"Age","Growth_M (0,0)"
0.118564240669599,0.108,"M_M","Converged",20,"Age","Growth_M (0,0)"
36.2754737734336,23.0979006233014,"Tier 3 HCR Catch","Converged",20,"Age","Growth_M (0,0)"
1,0.5,"Female Sex Ratio","Converged",21,"Age","Growth_M (0,0)"
1,0.5,"Male Sex Ratio","Converged",21,"Age","Growth_M (0,0)"
102.340123092783,105.431906230448,"Bmsy","Converged",21,"Age","Growth_M (0,0)"
0.15116010740557,0.152142410534649,"Fmsy","Converged",21,"Age","Growth_M (0,0)"
20.0259688380557,17.28778,"R0","Converged",21,"Age","Growth_M (0,0)"
0.110011567518024,0.108,"M_F","Converged",21,"Age","Growth_M (0,0)"
0.110011567518024,0.108,"M_M","Converged",21,"Age","Growth_M (0,0)"
27.4477373437326,20.7628197557752,"Tier 3 HCR Catch","Converged",21,"Age","Growth_M (0,0)"
1,0.5,"Female Sex Ratio","Converged",22,"Age","Growth_M (0,0)"
1,0.5,"Male Sex Ratio","Converged",22,"Age","Growth_M (0,0)"
104.9925618523,105.431906230448,"Bmsy","Converged",22,"Age","Growth_M (0,0)"
0.152249926826988,0.152142410534649,"Fmsy","Converged",22,"Age","Growth_M (0,0)"
20.8857586370164,17.28778,"R0","Converged",22,"Age","Growth_M (0,0)"
0.108372852814037,0.108,"M_F","Converged",22,"Age","Growth_M (0,0)"
0.108372852814037,0.108,"M_M","Converged",22,"Age","Growth_M (0,0)"
25.8078620311406,20.680375673129,"Tier 3 HCR Catch","Converged",22,"Age","Growth_M (0,0)"
1,0.5,"Female Sex Ratio","Converged",23,"Age","Growth_M (0,0)"
1,0.5,"Male Sex Ratio","Converged",23,"Age","Growth_M (0,0)"
119.7041729603,105.431906230448,"Bmsy","Converged",23,"Age","Growth_M (0,0)"
0.145531730822887,0.152142410534649,"Fmsy","Converged",23,"Age","Growth_M (0,0)"
16.5344441364738,17.28778,"R0","Converged",23,"Age","Growth_M (0,0)"
0.0990024410859757,0.108,"M_F","Converged",23,"Age","Growth_M (0,0)"
0.0990024410859757,0.108,"M_M","Converged",23,"Age","Growth_M (0,0)"
16.2322335567364,25.055009605887,"Tier 3 HCR Catch","Converged",23,"Age","Growth_M (0,0)"
