"Age","Sex","True","Pred","Convergence","sim","EM","OM","Type"
22,2,5.63218110882462,5.79890521170419,"Converged",2,"Age","Growth_M (0,0)","Weight at age"
23,2,5.66892701667403,5.83748288402586,"Converged",2,"Age","Growth_M (0,0)","Weight at age"
24,2,5.70005267524503,5.87020653081878,"Converged",2,"Age","Growth_M (0,0)","Weight at age"
25,2,5.72640102866033,5.89794670165075,"Converged",2,"Age","Growth_M (0,0)","Weight at age"
26,2,5.74869346247742,5.92144964824062,"Converged",2,"Age","Growth_M (0,0)","Weight at age"
27,2,5.76754588734057,5.94135354784178,"Converged",2,"Age","Growth_M (0,0)","Weight at age"
28,2,5.7834831393354,5.95820307582974,"Converged",2,"Age","Growth_M (0,0)","Weight at age"
29,2,5.79695172486019,5.97246233993388,"Converged",2,"Age","Growth_M (0,0)","Weight at age"
30,2,5.80833099962894,5.98452625462696,"Converged",2,"Age","Growth_M (0,0)","Weight at age"
1,1,0.800220113406208,0.835235543684461,"Converged",3,"Age","Growth_M (0,0)","Weight at age"
2,1,1.20796285697858,1.26832921201558,"Converged",3,"Age","Growth_M (0,0)","Weight at age"
3,1,1.64445462610239,1.73280565773507,"Converged",3,"Age","Growth_M (0,0)","Weight at age"
4,1,2.08588861916587,2.20284082112946,"Converged",3,"Age","Growth_M (0,0)","Weight at age"
5,1,2.51481923738296,2.65953249109926,"Converged",3,"Age","Growth_M (0,0)","Weight at age"
6,1,2.91957186656435,3.09026284778393,"Converged",3,"Age","Growth_M (0,0)","Weight at age"
7,1,3.29316533931301,3.48751833461021,"Converged",3,"Age","Growth_M (0,0)","Weight at age"
8,1,3.63217402539275,3.84764298505739,"Converged",3,"Age","Growth_M (0,0)","Weight at age"
9,1,3.93571598120077,4.16973183185496,"Converged",3,"Age","Growth_M (0,0)","Weight at age"
10,1,4.20462937945299,4.45473255031738,"Converged",3,"Age","Growth_M (0,0)","Weight at age"
11,1,4.44083947522637,4.70475705652376,"Converged",3,"Age","Growth_M (0,0)","Weight at age"
12,1,4.64689281530972,4.9225767479006,"Converged",3,"Age","Growth_M (0,0)","Weight at age"
13,1,4.82562748834234,5.1112666015925,"Converged",3,"Age","Growth_M (0,0)","Weight at age"
14,1,4.97994872083971,5.27396413142481,"Converged",3,"Age","Growth_M (0,0)","Weight at age"
15,1,5.11268313306861,5.41371378727219,"Converged",3,"Age","Growth_M (0,0)","Weight at age"
16,1,5.22648997606137,5.5333730015415,"Converged",3,"Age","Growth_M (0,0)","Weight at age"
17,1,5.32381249582001,5.63556145740639,"Converged",3,"Age","Growth_M (0,0)","Weight at age"
18,1,5.40685673335688,5.72263975897377,"Converged",3,"Age","Growth_M (0,0)","Weight at age"
19,1,5.47758844492918,5.79670740027722,"Converged",3,"Age","Growth_M (0,0)","Weight at age"
20,1,5.5377414565729,5.85961281268826,"Converged",3,"Age","Growth_M (0,0)","Weight at age"
21,1,5.58883275738382,5.91297044304599,"Converged",3,"Age","Growth_M (0,0)","Weight at age"
22,1,5.63218110882462,5.958181416008,"Converged",3,"Age","Growth_M (0,0)","Weight at age"
23,1,5.66892701667403,5.99645549184425,"Converged",3,"Age","Growth_M (0,0)","Weight at age"
24,1,5.70005267524503,6.02883285339858,"Converged",3,"Age","Growth_M (0,0)","Weight at age"
25,1,5.72640102866033,6.05620483014903,"Converged",3,"Age","Growth_M (0,0)","Weight at age"
26,1,5.74869346247742,6.07933306064106,"Converged",3,"Age","Growth_M (0,0)","Weight at age"
27,1,5.76754588734057,6.09886685809727,"Converged",3,"Age","Growth_M (0,0)","Weight at age"
28,1,5.7834831393354,6.11535871565889,"Converged",3,"Age","Growth_M (0,0)","Weight at age"
29,1,5.79695172486019,6.12927799525579,"Converged",3,"Age","Growth_M (0,0)","Weight at age"
30,1,5.80833099962894,6.14102290759641,"Converged",3,"Age","Growth_M (0,0)","Weight at age"
1,2,0.800220113406208,0.835235543684461,"Converged",3,"Age","Growth_M (0,0)","Weight at age"
2,2,1.20796285697858,1.26832921201558,"Converged",3,"Age","Growth_M (0,0)","Weight at age"
3,2,1.64445462610239,1.73280565773507,"Converged",3,"Age","Growth_M (0,0)","Weight at age"
4,2,2.08588861916587,2.20284082112946,"Converged",3,"Age","Growth_M (0,0)","Weight at age"
5,2,2.51481923738296,2.65953249109926,"Converged",3,"Age","Growth_M (0,0)","Weight at age"
6,2,2.91957186656435,3.09026284778393,"Converged",3,"Age","Growth_M (0,0)","Weight at age"
7,2,3.29316533931301,3.48751833461021,"Converged",3,"Age","Growth_M (0,0)","Weight at age"
8,2,3.63217402539275,3.84764298505739,"Converged",3,"Age","Growth_M (0,0)","Weight at age"
9,2,3.93571598120077,4.16973183185496,"Converged",3,"Age","Growth_M (0,0)","Weight at age"
10,2,4.20462937945299,4.45473255031738,"Converged",3,"Age","Growth_M (0,0)","Weight at age"
11,2,4.44083947522637,4.70475705652376,"Converged",3,"Age","Growth_M (0,0)","Weight at age"
12,2,4.64689281530972,4.9225767479006,"Converged",3,"Age","Growth_M (0,0)","Weight at age"
13,2,4.82562748834234,5.1112666015925,"Converged",3,"Age","Growth_M (0,0)","Weight at age"
14,2,4.97994872083971,5.27396413142481,"Converged",3,"Age","Growth_M (0,0)","Weight at age"
15,2,5.11268313306861,5.41371378727219,"Converged",3,"Age","Growth_M (0,0)","Weight at age"
16,2,5.22648997606137,5.5333730015415,"Converged",3,"Age","Growth_M (0,0)","Weight at age"
17,2,5.32381249582001,5.63556145740639,"Converged",3,"Age","Growth_M (0,0)","Weight at age"
18,2,5.40685673335688,5.72263975897377,"Converged",3,"Age","Growth_M (0,0)","Weight at age"
19,2,5.47758844492918,5.79670740027722,"Converged",3,"Age","Growth_M (0,0)","Weight at age"
20,2,5.5377414565729,5.85961281268826,"Converged",3,"Age","Growth_M (0,0)","Weight at age"
21,2,5.58883275738382,5.91297044304599,"Converged",3,"Age","Growth_M (0,0)","Weight at age"
22,2,5.63218110882462,5.958181416008,"Converged",3,"Age","Growth_M (0,0)","Weight at age"
23,2,5.66892701667403,5.99645549184425,"Converged",3,"Age","Growth_M (0,0)","Weight at age"
24,2,5.70005267524503,6.02883285339858,"Converged",3,"Age","Growth_M (0,0)","Weight at age"
25,2,5.72640102866033,6.05620483014903,"Converged",3,"Age","Growth_M (0,0)","Weight at age"
26,2,5.74869346247742,6.07933306064106,"Converged",3,"Age","Growth_M (0,0)","Weight at age"
27,2,5.76754588734057,6.09886685809727,"Converged",3,"Age","Growth_M (0,0)","Weight at age"
28,2,5.7834831393354,6.11535871565889,"Converged",3,"Age","Growth_M (0,0)","Weight at age"
29,2,5.79695172486019,6.12927799525579,"Converged",3,"Age","Growth_M (0,0)","Weight at age"
30,2,5.80833099962894,6.14102290759641,"Converged",3,"Age","Growth_M (0,0)","Weight at age"
1,1,0.800220113406208,0.851198656883114,"Converged",4,"Age","Growth_M (0,0)","Weight at age"
2,1,1.20796285697858,1.28020510270094,"Converged",4,"Age","Growth_M (0,0)","Weight at age"
3,1,1.64445462610239,1.73821799829318,"Converged",4,"Age","Growth_M (0,0)","Weight at age"
4,1,2.08588861916587,2.20041015473653,"Converged",4,"Age","Growth_M (0,0)","Weight at age"
5,1,2.51481923738296,2.64868683770735,"Converged",4,"Age","Growth_M (0,0)","Weight at age"
6,1,2.91957186656435,3.07101690632451,"Converged",4,"Age","Growth_M (0,0)","Weight at age"
7,1,3.29316533931301,3.46027534766759,"Converged",4,"Age","Growth_M (0,0)","Weight at age"
8,1,3.63217402539275,3.81303709938666,"Converged",4,"Age","Growth_M (0,0)","Weight at age"
9,1,3.93571598120077,4.12851197449391,"Converged",4,"Age","Growth_M (0,0)","Weight at age"
10,1,4.20462937945299,4.40768205599601,"Converged",4,"Age","Growth_M (0,0)","Weight at age"
11,1,4.44083947522637,4.65264141549428,"Converged",4,"Age","Growth_M (0,0)","Weight at age"
12,1,4.64689281530972,4.86611218785923,"Converged",4,"Age","Growth_M (0,0)","Weight at age"
13,1,4.82562748834234,5.05110339387709,"Converged",4,"Age","Growth_M (0,0)","Weight at age"
14,1,4.97994872083971,5.21067985708707,"Converged",4,"Age","Growth_M (0,0)","Weight at age"
15,1,5.11268313306861,5.34781302525572,"Converged",4,"Age","Growth_M (0,0)","Weight at age"
16,1,5.22648997606137,5.46529091013106,"Converged",4,"Age","Growth_M (0,0)","Weight at age"
17,1,5.32381249582001,5.56566950127131,"Converged",4,"Age","Growth_M (0,0)","Weight at age"
18,1,5.40685673335688,5.65125241439296,"Converged",4,"Age","Growth_M (0,0)","Weight at age"
19,1,5.47758844492918,5.72408908862308,"Converged",4,"Age","Growth_M (0,0)","Weight at age"
20,1,5.5377414565729,5.78598460449448,"Converged",4,"Age","Growth_M (0,0)","Weight at age"
21,1,5.58883275738382,5.8385162742638,"Converged",4,"Age","Growth_M (0,0)","Weight at age"
22,1,5.63218110882462,5.88305369019554,"Converged",4,"Age","Growth_M (0,0)","Weight at age"
23,1,5.66892701667403,5.92078002679631,"Converged",4,"Age","Growth_M (0,0)","Weight at age"
24,1,5.70005267524503,5.95271318275848,"Converged",4,"Age","Growth_M (0,0)","Weight at age"
25,1,5.72640102866033,5.97972590045172,"Converged",4,"Age","Growth_M (0,0)","Weight at age"
26,1,5.74869346247742,6.00256437953532,"Converged",4,"Age","Growth_M (0,0)","Weight at age"
27,1,5.76754588734057,6.02186515542409,"Converged",4,"Age","Growth_M (0,0)","Weight at age"
28,1,5.7834831393354,6.03817017920948,"Converged",4,"Age","Growth_M (0,0)","Weight at age"
29,1,5.79695172486019,6.051940139808,"Converged",4,"Age","Growth_M (0,0)","Weight at age"
30,1,5.80833099962894,6.06356613082095,"Converged",4,"Age","Growth_M (0,0)","Weight at age"
1,2,0.800220113406208,0.851198656883114,"Converged",4,"Age","Growth_M (0,0)","Weight at age"
2,2,1.20796285697858,1.28020510270094,"Converged",4,"Age","Growth_M (0,0)","Weight at age"
3,2,1.64445462610239,1.73821799829318,"Converged",4,"Age","Growth_M (0,0)","Weight at age"
4,2,2.08588861916587,2.20041015473653,"Converged",4,"Age","Growth_M (0,0)","Weight at age"
5,2,2.51481923738296,2.64868683770735,"Converged",4,"Age","Growth_M (0,0)","Weight at age"
6,2,2.91957186656435,3.07101690632451,"Converged",4,"Age","Growth_M (0,0)","Weight at age"
7,2,3.29316533931301,3.46027534766759,"Converged",4,"Age","Growth_M (0,0)","Weight at age"
8,2,3.63217402539275,3.81303709938666,"Converged",4,"Age","Growth_M (0,0)","Weight at age"
9,2,3.93571598120077,4.12851197449391,"Converged",4,"Age","Growth_M (0,0)","Weight at age"
10,2,4.20462937945299,4.40768205599601,"Converged",4,"Age","Growth_M (0,0)","Weight at age"
11,2,4.44083947522637,4.65264141549428,"Converged",4,"Age","Growth_M (0,0)","Weight at age"
12,2,4.64689281530972,4.86611218785923,"Converged",4,"Age","Growth_M (0,0)","Weight at age"
13,2,4.82562748834234,5.05110339387709,"Converged",4,"Age","Growth_M (0,0)","Weight at age"
14,2,4.97994872083971,5.21067985708707,"Converged",4,"Age","Growth_M (0,0)","Weight at age"
15,2,5.11268313306861,5.34781302525572,"Converged",4,"Age","Growth_M (0,0)","Weight at age"
16,2,5.22648997606137,5.46529091013106,"Converged",4,"Age","Growth_M (0,0)","Weight at age"
17,2,5.32381249582001,5.56566950127131,"Converged",4,"Age","Growth_M (0,0)","Weight at age"
18,2,5.40685673335688,5.65125241439296,"Converged",4,"Age","Growth_M (0,0)","Weight at age"
19,2,5.47758844492918,5.72408908862308,"Converged",4,"Age","Growth_M (0,0)","Weight at age"
20,2,5.5377414565729,5.78598460449448,"Converged",4,"Age","Growth_M (0,0)","Weight at age"
21,2,5.58883275738382,5.8385162742638,"Converged",4,"Age","Growth_M (0,0)","Weight at age"
22,2,5.63218110882462,5.88305369019554,"Converged",4,"Age","Growth_M (0,0)","Weight at age"
23,2,5.66892701667403,5.92078002679631,"Converged",4,"Age","Growth_M (0,0)","Weight at age"
24,2,5.70005267524503,5.95271318275848,"Converged",4,"Age","Growth_M (0,0)","Weight at age"
25,2,5.72640102866033,5.97972590045172,"Converged",4,"Age","Growth_M (0,0)","Weight at age"
26,2,5.74869346247742,6.00256437953532,"Converged",4,"Age","Growth_M (0,0)","Weight at age"
27,2,5.76754588734057,6.02186515542409,"Converged",4,"Age","Growth_M (0,0)","Weight at age"
28,2,5.7834831393354,6.03817017920948,"Converged",4,"Age","Growth_M (0,0)","Weight at age"
29,2,5.79695172486019,6.051940139808,"Converged",4,"Age","Growth_M (0,0)","Weight at age"
30,2,5.80833099962894,6.06356613082095,"Converged",4,"Age","Growth_M (0,0)","Weight at age"
1,1,0.800220113406208,0.833821589488994,"Converged",5,"Age","Growth_M (0,0)","Weight at age"
2,1,1.20796285697858,1.2511928836537,"Converged",5,"Age","Growth_M (0,0)","Weight at age"
3,1,1.64445462610239,1.69763754995388,"Converged",5,"Age","Growth_M (0,0)","Weight at age"
4,1,2.08588861916587,2.14937362610242,"Converged",5,"Age","Growth_M (0,0)","Weight at age"
5,1,2.51481923738296,2.58888316474912,"Converged",5,"Age","Growth_M (0,0)","Weight at age"
6,1,2.91957186656435,3.00435232137574,"Converged",5,"Age","Growth_M (0,0)","Weight at age"
