"EM","OM","sim","gradient","pdHess","convergence"
"Age","Growth_M (0,0)",80,4.16477783947897e-05,TRUE,"Converged"
"Age","Growth_M (0,0)",81,8.90356629165583e-11,TRUE,"Converged"
"Age","Growth_M (0,0)",82,6.62597898224495e-11,TRUE,"Converged"
"Age","Growth_M (0,0)",83,2.21956952175982e-09,TRUE,"Converged"
"Age","Growth_M (0,0)",84,2.73470476575614e-10,TRUE,"Converged"
"Age","Growth_M (0,0)",85,7.9576021868707e-11,TRUE,"Converged"
"Age","Growth_M (0,0)",86,9.06490020325356e-11,TRUE,"Converged"
"Age","Growth_M (0,0)",87,7.75861812273934e-10,TRUE,"Converged"
"Age","Growth_M (0,0)",88,8.15868074035716e-11,TRUE,"Converged"
"Age","Growth_M (0,0)",89,4.25252758959015e-11,TRUE,"Converged"
"Age","Growth_M (0,0)",90,5.85629440699114e-10,TRUE,"Converged"
"Age","Growth_M (0,0)",91,1.84230361717895e-05,TRUE,"Converged"
"Age","Growth_M (0,0)",92,5.99648978882222e-06,TRUE,"Converged"
"Age","Growth_M (0,0)",93,3.75964375754932e-11,TRUE,"Converged"
"Age","Growth_M (0,0)",94,2.90977384927779e-09,TRUE,"Converged"
"Age","Growth_M (0,0)",95,6.42550155080423e-11,TRUE,"Converged"
"Age","Growth_M (0,0)",96,8.28612966136641e-11,TRUE,"Converged"
"Age","Growth_M (0,0)",97,9.29722171889306e-11,TRUE,"Converged"
"Age","Growth_M (0,0)",98,4.00986928233627e-05,TRUE,"Converged"
"Age","Growth_M (0,0)",99,9.59892634985367e-06,TRUE,"Converged"
"Age","Growth_M (0,0)",100,2.55825227624441e-05,TRUE,"Converged"
"Age","Growth_M (0,0)",101,7.92115682281966e-05,TRUE,"Converged"
"Age","Growth_M (0,0)",102,5.38905942873897e-06,TRUE,"Converged"
"Age","Growth_M (0,0)",103,0.000117095539633106,TRUE,"Converged"
"Age","Growth_M (0,0)",104,7.81821082090268e-10,TRUE,"Converged"
"Age","Growth_M (0,0)",105,5.23980090898733e-11,TRUE,"Converged"
"Age","Growth_M (0,0)",106,4.7900808044042e-11,TRUE,"Converged"
"Age","Growth_M (0,0)",107,1.48402520271668e-05,TRUE,"Converged"
"Age","Growth_M (0,0)",108,1.81132985279829e-09,TRUE,"Converged"
"Age","Growth_M (0,0)",109,3.39966844322148e-10,TRUE,"Converged"
"Age","Growth_M (0,0)",110,3.61882273038968e-06,TRUE,"Converged"
"Age","Growth_M (0,0)",111,6.40288084825477e-11,TRUE,"Converged"
"Age","Growth_M (0,0)",112,5.5743708328693e-11,TRUE,"Converged"
