"EM","OM","sim","gradient","pdHess","convergence"
"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)",97,8.59701260244112e-05,TRUE,"Converged"
"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)",98,0.000866752897266767,TRUE,"Converged"
"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)",99,5.14167942502449e-09,TRUE,"Converged"
"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)",100,2.01849647629474e-10,TRUE,"Converged"
"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)",101,0.000453073661195024,TRUE,"Converged"
"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)",102,7.16455297524935e-10,TRUE,"Converged"
"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)",103,6.33849546877778e-05,TRUE,"Converged"
"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)",104,1.45773500205041e-10,TRUE,"Converged"
"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)",105,1.26747257460583e-09,TRUE,"Converged"
"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)",106,2.47493907412474e-10,TRUE,"Converged"
"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)",107,0.000716761676577917,TRUE,"Converged"
"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)",108,0.000786049593360906,TRUE,"Converged"
"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)",109,2.7112724711164e-10,TRUE,"Converged"
"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)",110,0.00027906379566541,TRUE,"Converged"
"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)",111,6.39160266226481e-10,TRUE,"Converged"
"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)",112,3.66264066765747e-08,TRUE,"Converged"
"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)",113,7.4301437958303e-09,TRUE,"Converged"
"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)",114,1.24197852719046e-05,TRUE,"Converged"
"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)",115,2.7365530611527e-09,TRUE,"Converged"
"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)",116,1.37898136005581e-08,TRUE,"Converged"
"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)",117,5.23313351617897e-08,TRUE,"Converged"
"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)",118,3.96304398233059e-10,TRUE,"Converged"
"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)",119,6.13814234298109e-07,TRUE,"Converged"
"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)",120,4.84941041934673e-09,TRUE,"Converged"
"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)",121,1.40350708325337e-07,TRUE,"Converged"
"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)",122,5.28981420717198e-09,TRUE,"Converged"
"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)",123,1.87674148132278e-11,TRUE,"Converged"
"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)",124,0.000898106420931824,TRUE,"Converged"
"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)",125,7.12856188200621e-06,TRUE,"Converged"
"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)",126,1.60150210346964e-10,TRUE,"Converged"
"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)",127,1.50978875262322e-11,TRUE,"Converged"
"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)",128,1.74933602888612e-09,TRUE,"Converged"
"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)",129,5.93320145981271e-08,TRUE,"Converged"
"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)",130,7.54704620990367e-06,TRUE,"Converged"
"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)",131,0.000163229401142543,TRUE,"Converged"
"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)",132,2.88946698433448e-07,TRUE,"Converged"
"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)",133,8.37461986855282e-09,TRUE,"Converged"
"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)",134,9.82552337398526e-10,TRUE,"Converged"
"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)",135,0.000388291739152975,TRUE,"Converged"
